layer,auroc_mean,auroc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
0,0.72,0.048476798574163316,0.72,0.048476798574163295,0.9777777777777779,0.04444444444444447,0.45,0.08944271909999157,0.6116675789089583,0.08491160070330986
1,0.9724999999999998,0.02247220505424426,0.925,0.05244044240850758,0.9283709273182957,0.04316198432619037,0.9200000000000002,0.06782329983125265,0.923839899937461,0.054269488948242774
2,0.9899999999999999,0.011067971810589333,0.96,0.04358898943540673,0.9694235588972431,0.04164927935406715,0.95,0.05477225575051661,0.9592245153220762,0.044795451853873146
3,0.9960000000000001,0.0058309518948453055,0.975,0.03872983346207416,0.9800000000000001,0.03999999999999999,0.97,0.039999999999999994,0.974871794871795,0.03873068223281888
4,0.9949999999999999,0.008803408430829487,0.975,0.03872983346207416,0.9888888888888889,0.022222222222222233,0.96,0.058309518948453015,0.9738191632928477,0.04076913919244093
5,0.9949999999999999,0.010000000000000009,0.9800000000000001,0.03999999999999999,0.9888888888888889,0.022222222222222233,0.97,0.06000000000000001,0.9789473684210528,0.042105263157894736
6,0.9970000000000001,0.0040000000000000036,0.975,0.031622776601683784,0.9894736842105264,0.02105263157894739,0.96,0.04898979485566355,0.9740890688259111,0.03265076138243878
7,0.9960000000000001,0.0058309518948453055,0.975,0.031622776601683784,0.9894736842105264,0.02105263157894739,0.96,0.04898979485566355,0.9740890688259111,0.03265076138243878
8,0.9960000000000001,0.007999999999999964,0.9800000000000001,0.024494897427831803,0.99,0.020000000000000018,0.97,0.039999999999999994,0.9794736842105263,0.025153269779681117
9,0.9945,0.011000000000000032,0.9800000000000001,0.024494897427831803,0.99,0.020000000000000018,0.97,0.039999999999999994,0.9794736842105263,0.025153269779681117
10,0.9934999999999998,0.013000000000000034,0.9800000000000001,0.024494897427831803,0.99,0.020000000000000018,0.97,0.039999999999999994,0.9794736842105263,0.025153269779681117
11,0.9964999999999999,0.007000000000000029,0.9850000000000001,0.020000000000000018,0.99,0.020000000000000018,0.9800000000000001,0.024494897427831803,0.9848717948717949,0.020065638509244994
12,0.9974999999999999,0.005000000000000026,0.985,0.02999999999999998,0.9894736842105264,0.02105263157894739,0.9800000000000001,0.03999999999999999,0.9846153846153847,0.03076923076923075
13,0.9969999999999999,0.004847679857416354,0.985,0.020000000000000018,0.99,0.020000000000000018,0.9800000000000001,0.024494897427831803,0.9848717948717948,0.020065638509244994
14,0.9984999999999999,0.0030000000000000248,0.985,0.020000000000000018,0.99,0.020000000000000018,0.9800000000000001,0.024494897427831803,0.9848717948717948,0.020065638509244994
15,0.9974999999999999,0.005000000000000026,0.99,0.020000000000000018,0.99,0.020000000000000018,0.99,0.020000000000000018,0.99,0.020000000000000018
16,0.998,0.0040000000000000036,0.985,0.02999999999999998,0.9894736842105264,0.02105263157894739,0.9800000000000001,0.03999999999999999,0.9846153846153847,0.03076923076923075
17,0.998,0.0040000000000000036,0.985,0.02999999999999998,0.9894736842105264,0.02105263157894739,0.9800000000000001,0.03999999999999999,0.9846153846153847,0.03076923076923075
18,0.998,0.0040000000000000036,0.985,0.02999999999999998,0.9894736842105264,0.02105263157894739,0.9800000000000001,0.03999999999999999,0.9846153846153847,0.03076923076923075
19,0.9984999999999999,0.0030000000000000248,0.99,0.020000000000000018,0.99,0.020000000000000018,0.99,0.020000000000000018,0.99,0.020000000000000018
20,0.999,0.0020000000000000018,0.99,0.020000000000000018,0.99,0.020000000000000018,0.99,0.020000000000000018,0.99,0.020000000000000018
21,0.999,0.0020000000000000018,0.985,0.02999999999999998,0.9894736842105264,0.02105263157894739,0.9800000000000001,0.03999999999999999,0.9846153846153847,0.03076923076923075
22,0.9984999999999999,0.0030000000000000248,0.975,0.02738612787525829,0.9704260651629072,0.02421628537179183,0.9800000000000001,0.03999999999999999,0.974859287054409,0.028095019208007315
23,0.9984999999999999,0.0030000000000000248,0.9800000000000001,0.03999999999999999,0.9888888888888889,0.022222222222222233,0.97,0.06000000000000001,0.9789473684210528,0.042105263157894736
24,0.9984999999999999,0.0030000000000000248,0.985,0.02999999999999998,0.9894736842105264,0.02105263157894739,0.9800000000000001,0.03999999999999999,0.9846153846153847,0.03076923076923075
