repeat,layer,AUROC,Accuracy,F1
0,0,0.52,0.52,0.6209320128632004
0,1,0.5449999999999999,0.555,0.5479626833115205
0,2,0.592,0.5599999999999999,0.5603173035778941
0,3,0.5454999999999999,0.55,0.5462907268170426
0,4,0.5279999999999999,0.51,0.5101861628177418
0,5,0.57,0.5449999999999999,0.5313717550302917
0,6,0.48249999999999993,0.495,0.4854153381325964
0,7,0.516,0.505,0.5160327477400648
0,8,0.49350000000000005,0.5,0.4956562137049942
0,9,0.545,0.51,0.4997464061845947
0,10,0.49849999999999994,0.505,0.48868725868725865
0,11,0.5209999999999999,0.5,0.48070440070440074
0,12,0.5585,0.555,0.5474079843724886
0,13,0.524,0.525,0.5095122421438211
0,14,0.504,0.48999999999999994,0.49739079937383224
0,15,0.5305,0.515,0.4971139971139971
0,16,0.553,0.53,0.5006799918385284
0,17,0.542,0.49499999999999994,0.48236153997386344
0,18,0.5635000000000001,0.55,0.5500659095885535
0,19,0.5365,0.51,0.49341891313649977
0,20,0.5595000000000001,0.51,0.4733789507983056
0,21,0.5225,0.5549999999999999,0.5473458243103286
0,22,0.5095,0.52,0.5269934640522875
0,23,0.48149999999999993,0.4700000000000001,0.46486850332132656
0,24,0.48149999999999993,0.485,0.47666522937985345
1,0,0.47999999999999987,0.4800000000000001,0.3253247921909555
1,1,0.532,0.495,0.5012797771334356
1,2,0.528,0.525,0.5517676385120712
1,3,0.533,0.51,0.5318764302059497
1,4,0.5365,0.5449999999999999,0.5529999172594031
1,5,0.48150000000000004,0.51,0.48979650979650974
1,6,0.5035000000000001,0.525,0.5224670824670824
1,7,0.534,0.53,0.5224045530849125
1,8,0.4925,0.5,0.5083586661953576
1,9,0.5325,0.51,0.5096515679442508
1,10,0.516,0.5599999999999999,0.5629142580430375
1,11,0.5215,0.5549999999999999,0.5283423346324502
1,12,0.497,0.53,0.5188741083477926
1,13,0.502,0.495,0.45162179632767874
1,14,0.515,0.525,0.5159390236310039
1,15,0.5295,0.52,0.5221973400463102
1,16,0.5455,0.5399999999999999,0.5346373514537828
1,17,0.5589999999999999,0.5900000000000001,0.5838233876409911
1,18,0.525,0.54,0.5388925475881997
1,19,0.516,0.535,0.5325268896454376
1,20,0.512,0.51,0.5002522256745022
1,21,0.5425,0.5199999999999999,0.5238323433672272
1,22,0.5105,0.535,0.5491729673238466
1,23,0.48999999999999994,0.495,0.511256302980935
1,24,0.5365,0.5399999999999999,0.5525419541698612
2,0,0.5200000000000001,0.5200000000000001,0.6216284667713239
2,1,0.537,0.55,0.5489000847537433
2,2,0.5130000000000001,0.5200000000000001,0.5296399535423926
2,3,0.5309999999999999,0.5199999999999999,0.5246448410830296
2,4,0.495,0.5,0.4704667778042391
2,5,0.49749999999999994,0.48500000000000004,0.463976833976834
2,6,0.49049999999999994,0.49000000000000005,0.4581427581427581
2,7,0.4255,0.44000000000000006,0.40286549707602337
2,8,0.4630000000000001,0.45499999999999996,0.4160641914864681
