,AUROC,AUROC,AUROC,Accuracy,Accuracy,Accuracy,F1,F1,F1
,mean,std,max,mean,std,max,mean,std,max
layer,,,,,,,,,
0,0.517,0.027100635498903822,0.55,0.517,0.027100635498903774,0.55,0.4609806611845205,0.14555363507884442,0.6452239621215362
1,0.5216000000000001,0.055626632310631786,0.602,0.525,0.04377975178854567,0.5900000000000001,0.516230179157888,0.037917546943929716,0.5556764008937922
2,0.5176999999999999,0.06081721247585534,0.6154999999999999,0.5195000000000001,0.035390676738372796,0.5800000000000001,0.515507832758691,0.042985146308298985,0.5658006316973319
3,0.51435,0.05548625956036324,0.5895,0.514,0.04538722287164088,0.575,0.509218460619165,0.044053118428491196,0.5778048780487806
4,0.48719999999999997,0.05501979441780725,0.5529999999999999,0.49849999999999994,0.03582751890811181,0.55,0.483004931710122,0.05140157381027851,0.5529999172594031
5,0.5102,0.05001899639137115,0.6020000000000001,0.515,0.031972210155418096,0.55,0.5045539570146939,0.03555151602205271,0.5500228529640294
6,0.5083,0.04257098646835528,0.575,0.508,0.021883530082893135,0.54,0.5004507572621614,0.027920126151720764,0.5356229984136961
7,0.5208,0.05260397112174879,0.5865,0.523,0.04184627953726724,0.58,0.5131946607055001,0.050718554772973795,0.580038542670382
8,0.50855,0.03543887538973109,0.577,0.5085,0.03055505050087646,0.5599999999999999,0.508125229641733,0.04489909108602013,0.5846084538767465
9,0.51905,0.03498606865596651,0.5605,0.52,0.03763863263545402,0.5799999999999998,0.5138049303928826,0.04603637619447849,0.5697176167764403
10,0.5062,0.046929142805344756,0.5964999999999999,0.5135,0.036289729186705776,0.5650000000000001,0.5080148394222269,0.036353095739604775,0.5629142580430375
11,0.5285,0.058380932960456655,0.601,0.522,0.04814330459968215,0.56,0.5059540596967278,0.04466769195422078,0.5490880301529015
12,0.5294,0.03585448987845795,0.5805,0.5315000000000001,0.03358653830860745,0.575,0.5192119170340681,0.04192438942992796,0.5781556455240665
13,0.5218,0.03667212080647157,0.591,0.514,0.03672722272223819,0.57,0.49791846950249286,0.044588292145087444,0.5600315986965538
14,0.52005,0.032033359347890894,0.5814999999999999,0.521,0.025798363427852473,0.57,0.5138929043671167,0.02840580946019623,0.5582379782379783
15,0.5196500000000001,0.04408391619022368,0.5954999999999999,0.5215,0.03333749973961587,0.59,0.5134901926660035,0.029680602390890928,0.5675603675603675
16,0.5186499999999999,0.040831666632651656,0.601,0.5109999999999999,0.04161997383735628,0.615,0.5023784723793852,0.03828105412095966,0.5951898978214768
17,0.5233,0.03881809429176611,0.6004999999999999,0.5165,0.03636619309193638,0.5900000000000001,0.5070416127390949,0.03971336792315026,0.5838233876409911
18,0.5395000000000001,0.05023666213257229,0.6330000000000001,0.539,0.035418137224371996,0.595,0.5317542820631577,0.03777174938350499,0.5790208248926343
19,0.52325,0.046309496266364686,0.587,0.5305,0.04284662569366848,0.575,0.5236391601227561,0.05286389157922336,0.608076902167198
20,0.52195,0.047202548189219186,0.6125,0.513,0.03529242915351046,0.5599999999999999,0.503137833152888,0.04074531427609663,0.582644673498332
21,0.5269999999999999,0.049947194337842636,0.6174999999999999,0.5269999999999999,0.046439925351648294,0.61,0.5232368749266257,0.04422544687718859,0.5988593434806528
22,0.5189999999999999,0.03975270780434685,0.587,0.524,0.039426443466846504,0.5900000000000001,0.5225703492497638,0.038965045098847885,0.5775127311712678
23,0.5152,0.04506550787464846,0.6020000000000001,0.516,0.036727222722238176,0.575,0.5160566367327512,0.036227776328286325,0.5672612090022605
24,0.5226,0.03376454419127327,0.5715,0.521,0.027467152099270205,0.565,0.5199493455691147,0.031347231183706754,0.5549043468489288
