layer,name,AUROC_mean,AUROC_std,Accuracy_mean,Accuracy_std,F1_mean,F1_std
0,group_entity_hidden_layer_0,0.5,0.0,0.5,0.0,0.6666666666666666,0.0
1,group_entity_hidden_layer_1,0.8838333333333332,0.013832552409907542,0.8216666666666667,0.015456030825826195,0.8196633072437749,0.027196111212377645
2,group_entity_hidden_layer_2,0.9635,0.008737601445038934,0.9083333333333334,0.012909944487358053,0.9081051595637536,0.014867485394846048
3,group_entity_hidden_layer_3,0.9543333333333333,0.016804614298709573,0.8949999999999999,0.020138409955990935,0.892815287034354,0.021665476796566326
4,group_entity_hidden_layer_4,0.9804444444444445,0.007636817901084249,0.9316666666666666,0.008164965809277232,0.9312640400250156,0.010031263105523644
5,group_entity_hidden_layer_5,0.9719444444444445,0.004499657051403693,0.9133333333333333,0.014529663145135577,0.9126600344040448,0.016859163919763408
6,group_entity_hidden_layer_6,0.9659444444444445,0.0068416841475844635,0.9183333333333333,0.016158932858054413,0.9191836455101733,0.015054185208889567
7,group_entity_hidden_layer_7,0.9789999999999999,0.009605810998467081,0.9383333333333335,0.006666666666666643,0.9388234818210666,0.006653391919387147
8,group_entity_hidden_layer_8,0.9884444444444445,0.0075125409552919365,0.9550000000000001,0.01452966314513557,0.9550741717917368,0.014488554703755444
9,group_entity_hidden_layer_9,0.9949999999999999,0.0035486043161491753,0.9649999999999999,0.01999999999999998,0.9646908418165934,0.020855509306460802
10,group_entity_hidden_layer_10,0.9984444444444446,0.00090608369057223,0.9816666666666667,0.009718253158075512,0.9815382659577349,0.009857186997702808
11,group_entity_hidden_layer_11,0.999611111111111,0.0005443310539518209,0.9883333333333333,0.011303883305208793,0.9882352941176471,0.01139887392121895
12,group_entity_hidden_layer_12,0.9998888888888888,0.00022222222222225695,0.99,0.008164965809277273,0.9899715258004029,0.00824519297629602
13,group_entity_hidden_layer_13,0.9998333333333334,0.0002222222222222181,0.9899999999999999,0.0062360956446232615,0.9900275482093663,0.006243545035410795
14,group_entity_hidden_layer_14,0.9998888888888888,0.00022222222222225695,0.9966666666666667,0.004082482904638616,0.9966942148760332,0.004048743376501108
15,group_entity_hidden_layer_15,0.9999444444444444,0.00011111111111112848,0.9983333333333334,0.003333333333333322,0.9983471074380166,0.0033057851239669312
16,group_entity_hidden_layer_16,0.9999444444444444,0.00011111111111112848,0.9966666666666667,0.004082482904638616,0.9966942148760332,0.004048743376501108
17,group_entity_hidden_layer_17,0.9995555555555555,0.0005719794522770932,0.9966666666666667,0.004082482904638616,0.9966942148760332,0.004048743376501108
18,group_entity_hidden_layer_18,0.9998888888888888,0.0001360827634879756,0.9966666666666667,0.004082482904638616,0.9966942148760332,0.004048743376501108
19,group_entity_hidden_layer_19,0.9998888888888888,0.0001360827634879756,0.9966666666666667,0.004082482904638616,0.9966942148760332,0.004048743376501108
20,group_entity_hidden_layer_20,0.9998888888888888,0.0001360827634879756,0.9949999999999999,0.004082482904638616,0.9950135426071256,0.004071741305759047
21,group_entity_hidden_layer_21,1.0,0.0,0.9983333333333334,0.0033333333333333214,0.9983471074380166,0.0033057851239669312
22,group_entity_hidden_layer_22,1.0,0.0,1.0,0.0,1.0,0.0
23,group_entity_hidden_layer_23,0.9999444444444444,0.00011111111111112848,0.9949999999999999,0.004082482904638616,0.9950135426071256,0.004071741305759047
24,group_entity_hidden_layer_24,0.9998888888888888,0.0001360827634879756,0.9933333333333334,0.0062360956446232485,0.9933331018357757,0.006236312204187133
25,group_entity_hidden_layer_25,0.9999444444444444,0.00011111111111112848,0.9949999999999999,0.006666666666666682,0.9950137741046833,0.006659833029718486
26,group_entity_hidden_layer_26,0.9997777777777778,0.0003239417719358588,0.9916666666666666,0.005270462766947316,0.9916802092737921,0.005270718396920773
27,group_entity_hidden_layer_27,0.9996666666666666,0.0005386310952684781,0.9933333333333334,0.0062360956446232485,0.9933053221288516,0.006243671717175704
28,group_entity_hidden_layer_28,0.9996666666666666,0.0005386310952684781,0.9949999999999999,0.006666666666666682,0.9949859943977591,0.006673724578796098
