layer,auroc_mean,auroc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
0,0.5,0.0,0.3666666666666667,0.04082482904638632,0.3666666666666667,0.04082482904638632,1.0,0.0,0.5352941176470589,0.043226289578526686
1,0.868392857142857,0.04700059704353744,0.7333333333333334,0.0816496580927726,0.6366666666666666,0.08326663997864532,0.72,0.11224972160321826,0.6661505161505161,0.06680770994148619
2,0.8746428571428572,0.029755594569143895,0.75,0.052704627669473016,0.7,0.16329931618554522,0.6199999999999999,0.1469693845669907,0.6385281385281386,0.08970549358619635
3,0.8241071428571429,0.03441382316002968,0.7666666666666667,0.11055415967851331,0.6883333333333332,0.19419348884839346,0.76,0.15937377450509227,0.7096181596181597,0.1396972981952791
4,0.85125,0.0586834729715275,0.75,0.10540925533894596,0.6799999999999999,0.19043809142780935,0.6699999999999999,0.13999999999999999,0.6655122655122655,0.14288017072115344
5,0.8382142857142856,0.05046467748306122,0.7833333333333333,0.08498365855987976,0.7083333333333333,0.16666666666666669,0.76,0.15937377450509227,0.7207292707292707,0.11881251220924502
6,0.8757142857142857,0.07565909376530856,0.8166666666666668,0.06236095644623235,0.7583333333333333,0.13017082793177756,0.8099999999999999,0.09695359714832658,0.7707292707292707,0.045204933188147986
7,0.8642857142857142,0.07925031384731522,0.8,0.06666666666666667,0.7416666666666666,0.13540064007726602,0.76,0.15937377450509227,0.7350149850149851,0.09287727922274298
8,0.8819642857142856,0.057143973203386766,0.8333333333333333,0.07453559924999298,0.7695238095238095,0.12510675713274688,0.8099999999999999,0.1854723699099141,0.7756132756132756,0.11561854896808021
9,0.8819642857142856,0.06564388698088484,0.7833333333333333,0.08498365855987976,0.7142857142857142,0.1475422227126635,0.7699999999999999,0.16,0.7245021645021645,0.10007759213077262
10,0.8866071428571427,0.04967688967061988,0.8,0.06666666666666667,0.7333333333333332,0.13333333333333336,0.7699999999999999,0.16,0.7366233766233767,0.09592260893576138
11,0.8455357142857143,0.0581276743953536,0.7499999999999999,0.09128709291752769,0.6628571428571428,0.16893423427536555,0.82,0.09273618495495704,0.7168831168831169,0.07395378875865842
12,0.8757142857142857,0.06841500014542103,0.75,0.10540925533894596,0.680952380952381,0.17142857142857143,0.73,0.17204650534085253,0.6857142857142857,0.11452159836388885
13,0.8626785714285713,0.05979983618843169,0.7666666666666666,0.09718253158075502,0.6985714285714285,0.16465176610541613,0.78,0.12884098726725127,0.7202164502164502,0.08602937407450205
14,0.8574999999999999,0.0649877343215233,0.8,0.08498365855987976,0.7476190476190476,0.14234033502509644,0.78,0.12884098726725127,0.7480952380952381,0.07463288837510501
15,0.8335714285714285,0.06680958320602866,0.75,0.1178511301977579,0.6785714285714285,0.18070158058105024,0.74,0.19339079605813717,0.689105339105339,0.13694083694083695
16,0.8346428571428571,0.0895894832567087,0.75,0.1178511301977579,0.6833333333333333,0.1855921454276674,0.65,0.2258317958127243,0.6440259740259741,0.19692885738074692
17,0.9485714285714286,0.0775123426642888,0.85,0.062360956446232345,0.8266666666666665,0.14966629547095767,0.82,0.09273618495495704,0.8083116883116883,0.04790500522970803
18,0.9542857142857143,0.07793246683991921,0.8833333333333332,0.08498365855987973,0.8533333333333333,0.12927146286443544,0.8699999999999999,0.10770329614269006,0.8546608946608947,0.0911226973514834
19,0.9714285714285715,0.04426266681379906,0.9166666666666666,0.09128709291752769,0.9333333333333332,0.13333333333333336,0.8699999999999999,0.10770329614269006,0.8946608946608947,0.10163894135486885
20,0.9828571428571429,0.034285714285714294,0.9333333333333332,0.09718253158075502,0.8933333333333333,0.13727506854649335,0.96,0.07999999999999999,0.9232323232323232,0.10701351626787092
21,0.9542857142857143,0.06663945022680345,0.9166666666666666,0.09128709291752769,0.8933333333333333,0.13727506854649335,0.9199999999999999,0.09797958971132709,0.901010101010101,0.1000764935474815
22,0.96,0.05598833697790123,0.9,0.097182531580755,0.8666666666666666,0.16329931618554522,0.9199999999999999,0.09797958971132709,0.8832323232323234,0.10821496441158096
23,0.9542857142857143,0.05883217223421145,0.9333333333333333,0.09718253158075502,0.9333333333333332,0.13333333333333336,0.9199999999999999,0.09797958971132709,0.9232323232323232,0.10701351626787092
24,0.9828571428571429,0.022857142857142857,0.9333333333333333,0.09718253158075502,0.9333333333333332,0.13333333333333336,0.9199999999999999,0.09797958971132709,0.9232323232323232,0.10701351626787092
25,0.9714285714285713,0.03614031611621006,0.9,0.097182531580755,0.8533333333333333,0.12927146286443544,0.9199999999999999,0.09797958971132709,0.8832323232323231,0.10821496441158095
26,0.9594642857142859,0.05288729834781329,0.9166666666666666,0.09128709291752769,0.8933333333333333,0.13727506854649335,0.9199999999999999,0.09797958971132709,0.901010101010101,0.1000764935474815
27,0.9542857142857143,0.06663945022680341,0.9,0.0816496580927726,0.8533333333333333,0.12927146286443544,0.9199999999999999,0.09797958971132709,0.8787878787878789,0.08712670162766796
28,0.9714285714285715,0.05714285714285712,0.9,0.097182531580755,0.8266666666666665,0.14966629547095767,0.96,0.07999999999999999,0.8832323232323234,0.10821496441158096
