split,method,fold,heldout_group,train_samples,test_samples,test_positive,auroc,accuracy,precision,recall,f1
source_id_group5,tfidf_char_ngram_prompt,0,pkck_0000,189.0,48,27,0.9753086419753085,0.9166666666666666,0.9259259259259259,0.9259259259259259,0.9259259259259259
source_id_group5,tfidf_char_ngram_prompt,1,pkck_0004,189.0,48,28,0.9803571428571429,0.9166666666666666,1.0,0.8571428571428571,0.9230769230769231
source_id_group5,tfidf_char_ngram_prompt,2,pkck_0002,190.0,47,25,0.990909090909091,0.8723404255319149,1.0,0.76,0.8636363636363636
source_id_group5,tfidf_char_ngram_prompt,3,pkck_0005,190.0,47,22,0.9381818181818182,0.8723404255319149,0.9,0.8181818181818182,0.8571428571428571
source_id_group5,tfidf_char_ngram_prompt,4,pkck_0001,190.0,47,24,0.9782608695652173,0.9148936170212766,0.9166666666666666,0.9166666666666666,0.9166666666666666
source_id_group5,prompt_length,0,pkck_0000,,48,27,0.9506172839506173,0.5625,0.5625,1.0,0.72
source_id_group5,prompt_length,1,pkck_0004,,48,28,0.8857142857142858,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579
source_id_group5,prompt_length,2,pkck_0002,,47,25,0.860909090909091,0.5319148936170213,0.5319148936170213,1.0,0.6944444444444444
source_id_group5,prompt_length,3,pkck_0005,,47,22,0.8418181818181819,0.46808510638297873,0.46808510638297873,1.0,0.6376811594202898
source_id_group5,prompt_length,4,pkck_0001,,47,24,0.8786231884057971,0.5106382978723404,0.5106382978723404,1.0,0.676056338028169
prompt_style_heldout,tfidf_char_ngram_prompt,0,brief_qa,166.0,71,3,0.9509803921568628,0.6056338028169014,0.0967741935483871,1.0,0.17647058823529413
prompt_style_heldout,tfidf_char_ngram_prompt,2,quoted_context_then_question,172.0,65,22,0.8837209302325582,0.676923076923077,0.5116279069767442,1.0,0.676923076923077
prompt_style_heldout,prompt_length,0,brief_qa,,71,3,0.7181372549019607,0.04225352112676056,0.04225352112676056,1.0,0.08108108108108109
prompt_style_heldout,prompt_length,2,quoted_context_then_question,,65,22,0.5924947145877378,0.3384615384615385,0.3384615384615385,1.0,0.5057471264367817
