split,layer,fold,heldout_group,train_samples,test_samples,test_positive,auroc,accuracy,precision,recall,f1
source_id_group5,0,0,pkck_0000,189,48,27,0.5,0.5625,0.5625,1.0,0.72
source_id_group5,0,1,pkck_0004,189,48,28,0.5,0.4166666666666667,0.0,0.0,0.0
source_id_group5,0,2,pkck_0002,190,47,25,0.5,0.5319148936170213,0.5319148936170213,1.0,0.6944444444444444
source_id_group5,0,3,pkck_0005,190,47,22,0.5,0.5319148936170213,0.0,0.0,0.0
source_id_group5,0,4,pkck_0001,190,47,24,0.5,0.5106382978723404,0.5106382978723404,1.0,0.676056338028169
source_id_group5,1,0,pkck_0000,189,48,27,0.9770723104056438,0.9375,1.0,0.8888888888888888,0.9411764705882353
source_id_group5,1,1,pkck_0004,189,48,28,0.9732142857142857,0.9375,0.9629629629629629,0.9285714285714286,0.9454545454545454
source_id_group5,1,2,pkck_0002,190,47,25,0.9781818181818183,0.8936170212765957,0.9545454545454546,0.84,0.8936170212765957
source_id_group5,1,3,pkck_0005,190,47,22,0.9690909090909091,0.9361702127659575,0.9130434782608695,0.9545454545454546,0.9333333333333333
source_id_group5,1,4,pkck_0001,190,47,24,0.9945652173913044,0.9361702127659575,0.8888888888888888,1.0,0.9411764705882353
source_id_group5,2,0,pkck_0000,189,48,27,0.9682539682539683,0.9375,1.0,0.8888888888888888,0.9411764705882353
source_id_group5,2,1,pkck_0004,189,48,28,0.9714285714285714,0.9166666666666666,0.9615384615384616,0.8928571428571429,0.9259259259259259
source_id_group5,2,2,pkck_0002,190,47,25,0.9818181818181819,0.9148936170212766,0.9565217391304348,0.88,0.9166666666666666
source_id_group5,2,3,pkck_0005,190,47,22,0.9563636363636364,0.9361702127659575,0.9130434782608695,0.9545454545454546,0.9333333333333333
source_id_group5,2,4,pkck_0001,190,47,24,0.9945652173913043,0.9148936170212766,0.8846153846153846,0.9583333333333334,0.92
source_id_group5,3,0,pkck_0000,189,48,27,0.9664902998236331,0.9375,1.0,0.8888888888888888,0.9411764705882353
source_id_group5,3,1,pkck_0004,189,48,28,0.9624999999999999,0.8958333333333334,0.9259259259259259,0.8928571428571429,0.9090909090909091
source_id_group5,3,2,pkck_0002,190,47,25,0.9690909090909091,0.9361702127659575,0.9583333333333334,0.92,0.9387755102040817
source_id_group5,3,3,pkck_0005,190,47,22,0.9636363636363636,0.9574468085106383,0.9545454545454546,0.9545454545454546,0.9545454545454546
source_id_group5,3,4,pkck_0001,190,47,24,0.9963768115942029,0.9787234042553191,0.96,1.0,0.9795918367346939
source_id_group5,4,0,pkck_0000,189,48,27,0.9576719576719577,0.9375,1.0,0.8888888888888888,0.9411764705882353
source_id_group5,4,1,pkck_0004,189,48,28,0.9696428571428571,0.9166666666666666,0.9285714285714286,0.9285714285714286,0.9285714285714286
source_id_group5,4,2,pkck_0002,190,47,25,0.9727272727272728,0.9361702127659575,0.9583333333333334,0.92,0.9387755102040817
source_id_group5,4,3,pkck_0005,190,47,22,0.9581818181818182,0.9574468085106383,0.9545454545454546,0.9545454545454546,0.9545454545454546
source_id_group5,4,4,pkck_0001,190,47,24,0.9909420289855072,0.9148936170212766,0.8846153846153846,0.9583333333333334,0.92
source_id_group5,5,0,pkck_0000,189,48,27,0.9435626102292768,0.9166666666666666,0.96,0.8888888888888888,0.9230769230769231
source_id_group5,5,1,pkck_0004,189,48,28,0.9678571428571429,0.8958333333333334,0.896551724137931,0.9285714285714286,0.9122807017543859
source_id_group5,5,2,pkck_0002,190,47,25,0.9581818181818181,0.8936170212765957,0.9545454545454546,0.84,0.8936170212765957
source_id_group5,5,3,pkck_0005,190,47,22,0.9327272727272728,0.9148936170212766,0.9090909090909091,0.9090909090909091,0.9090909090909091
source_id_group5,5,4,pkck_0001,190,47,24,0.9873188405797102,0.9361702127659575,0.92,0.9583333333333334,0.9387755102040817
source_id_group5,6,0,pkck_0000,189,48,27,0.9488536155202821,0.9375,1.0,0.8888888888888888,0.9411764705882353
source_id_group5,6,1,pkck_0004,189,48,28,0.9571428571428572,0.8958333333333334,0.9259259259259259,0.8928571428571429,0.9090909090909091
source_id_group5,6,2,pkck_0002,190,47,25,0.9636363636363636,0.9148936170212766,0.9565217391304348,0.88,0.9166666666666666
source_id_group5,6,3,pkck_0005,190,47,22,0.9381818181818182,0.9148936170212766,0.9090909090909091,0.9090909090909091,0.9090909090909091
source_id_group5,6,4,pkck_0001,190,47,24,0.9981884057971014,0.9574468085106383,0.9230769230769231,1.0,0.96
source_id_group5,7,0,pkck_0000,189,48,27,0.9594356261022927,0.9375,1.0,0.8888888888888888,0.9411764705882353
source_id_group5,7,1,pkck_0004,189,48,28,0.9642857142857143,0.9166666666666666,0.9615384615384616,0.8928571428571429,0.9259259259259259
source_id_group5,7,2,pkck_0002,190,47,25,0.9763636363636363,0.8936170212765957,0.9545454545454546,0.84,0.8936170212765957
source_id_group5,7,3,pkck_0005,190,47,22,0.9381818181818182,0.9148936170212766,0.9090909090909091,0.9090909090909091,0.9090909090909091
source_id_group5,7,4,pkck_0001,190,47,24,1.0,0.9574468085106383,0.9230769230769231,1.0,0.96
source_id_group5,8,0,pkck_0000,189,48,27,0.9576719576719577,0.9375,1.0,0.8888888888888888,0.9411764705882353
source_id_group5,8,1,pkck_0004,189,48,28,0.9660714285714286,0.8958333333333334,0.96,0.8571428571428571,0.9056603773584906
source_id_group5,8,2,pkck_0002,190,47,25,0.9654545454545453,0.9148936170212766,0.9565217391304348,0.88,0.9166666666666666
source_id_group5,8,3,pkck_0005,190,47,22,0.9454545454545455,0.9361702127659575,0.9130434782608695,0.9545454545454546,0.9333333333333333
source_id_group5,8,4,pkck_0001,190,47,24,1.0,0.9787234042553191,0.96,1.0,0.9795918367346939
source_id_group5,9,0,pkck_0000,189,48,27,0.962962962962963,0.9375,1.0,0.8888888888888888,0.9411764705882353
source_id_group5,9,1,pkck_0004,189,48,28,0.975,0.9166666666666666,0.9615384615384616,0.8928571428571429,0.9259259259259259
source_id_group5,9,2,pkck_0002,190,47,25,0.9745454545454545,0.9148936170212766,0.9565217391304348,0.88,0.9166666666666666
source_id_group5,9,3,pkck_0005,190,47,22,0.9563636363636363,0.9361702127659575,0.9130434782608695,0.9545454545454546,0.9333333333333333
source_id_group5,9,4,pkck_0001,190,47,24,1.0,0.9787234042553191,0.96,1.0,0.9795918367346939
source_id_group5,10,0,pkck_0000,189,48,27,0.9611992945326279,0.9375,1.0,0.8888888888888888,0.9411764705882353
source_id_group5,10,1,pkck_0004,189,48,28,0.9625,0.8958333333333334,0.96,0.8571428571428571,0.9056603773584906
source_id_group5,10,2,pkck_0002,190,47,25,0.969090909090909,0.8936170212765957,0.9166666666666666,0.88,0.8979591836734694
source_id_group5,10,3,pkck_0005,190,47,22,0.9472727272727273,0.9361702127659575,0.9130434782608695,0.9545454545454546,0.9333333333333333
source_id_group5,10,4,pkck_0001,190,47,24,1.0,0.9361702127659575,0.8888888888888888,1.0,0.9411764705882353
