feature,coef,direction
"者
答",0.0701301940798965,towards_unknown_label_1
"者
",0.0701301940798965,towards_unknown_label_1
"者
答案：",0.0701301940798965,towards_unknown_label_1
"者
答案",0.0701301940798965,towards_unknown_label_1
性：作,0.05645408167539913,towards_unknown_label_1
"作者
",0.05645408167539913,towards_unknown_label_1
"：作者
",0.05645408167539913,towards_unknown_label_1
：作者,0.05645408167539913,towards_unknown_label_1
"：作者
答",0.05645408167539913,towards_unknown_label_1
"作者
答案",0.05645408167539913,towards_unknown_label_1
属性：作,0.05645408167539913,towards_unknown_label_1
属性：作者,0.05645408167539913,towards_unknown_label_1
作者,0.05645408167539913,towards_unknown_label_1
"作者
答",0.05645408167539913,towards_unknown_label_1
：作,0.05645408167539913,towards_unknown_label_1
"
属性：作",0.05645408167539913,towards_unknown_label_1
性：作者,0.05645408167539913,towards_unknown_label_1
"性：作者
",0.05645408167539913,towards_unknown_label_1
属性：主,0.052819679172788105,towards_unknown_label_1
属性：主要,0.052819679172788105,towards_unknown_label_1
"
属性：主",0.052819679172788105,towards_unknown_label_1
性：主,0.052819679172788105,towards_unknown_label_1
性：主要,0.052819679172788105,towards_unknown_label_1
：主,0.052819679172788105,towards_unknown_label_1
主要,0.052819679172788105,towards_unknown_label_1
：主要,0.052819679172788105,towards_unknown_label_1
"在地
",0.042264065746901454,towards_unknown_label_1
"
属性：总",0.042264065746901454,towards_unknown_label_1
：总部所,0.042264065746901454,towards_unknown_label_1
在地,0.042264065746901454,towards_unknown_label_1
性：化学,-0.07674211539242777,towards_known_label_0
性：化,-0.07674211539242777,towards_known_label_0
属性：化,-0.07674211539242777,towards_known_label_0
属性：化学,-0.07674211539242777,towards_known_label_0
：化学,-0.07674211539242777,towards_known_label_0
"
属性：化",-0.07674211539242777,towards_known_label_0
：化,-0.07674211539242777,towards_known_label_0
化学,-0.07674211539242777,towards_known_label_0
属性：首,-0.053171477994203416,towards_known_label_0
属性：首都,-0.053171477994203416,towards_known_label_0
"首都
答案",-0.053171477994203416,towards_known_label_0
"首都
",-0.053171477994203416,towards_known_label_0
"：首都
答",-0.053171477994203416,towards_known_label_0
：首,-0.053171477994203416,towards_known_label_0
：首都,-0.053171477994203416,towards_known_label_0
"：首都
",-0.053171477994203416,towards_known_label_0
"首都
答",-0.053171477994203416,towards_known_label_0
首都,-0.053171477994203416,towards_known_label_0
"都
答",-0.053171477994203416,towards_known_label_0
"都
",-0.053171477994203416,towards_known_label_0
"都
答案",-0.053171477994203416,towards_known_label_0
"性：首都
",-0.053171477994203416,towards_known_label_0
性：首,-0.053171477994203416,towards_known_label_0
"都
答案：",-0.053171477994203416,towards_known_label_0
性：首都,-0.053171477994203416,towards_known_label_0
"
属性：首",-0.053171477994203416,towards_known_label_0
"学式
答案",-0.0510493721309354,towards_known_label_0
"化学式
答",-0.0510493721309354,towards_known_label_0
"学式
答",-0.0510493721309354,towards_known_label_0
性：化学式,-0.0510493721309354,towards_known_label_0
