model,method,auroc,accuracy_at_median,f1_at_median
Qwen2.5-0.5B-Instruct,hidden_layer_18,0.7512,0.63,0.63
Qwen2.5-0.5B-Instruct,length_baseline,0.5,0.5,0.6666666666666666
Qwen2.5-0.5B-Instruct,tfidf_char_ngram,0.50945,0.515,0.5174129353233831
Qwen2.5-0.5B-Instruct,entropy,0.7801,0.71,0.71
Qwen2.5-0.5B-Instruct,negative_top1_prob,0.7801,0.72,0.72
Qwen2.5-0.5B-Instruct,negative_margin,0.7559,0.69,0.69
Qwen2.5-1.5B-Instruct,hidden_layer_21,0.9016,0.82,0.82
Qwen2.5-1.5B-Instruct,length_baseline,0.5,0.5,0.6666666666666666
Qwen2.5-1.5B-Instruct,tfidf_char_ngram,0.50945,0.515,0.5174129353233831
Qwen2.5-1.5B-Instruct,entropy,0.7911999999999999,0.73,0.73
Qwen2.5-1.5B-Instruct,negative_top1_prob,0.7694000000000001,0.71,0.71
Qwen2.5-1.5B-Instruct,negative_margin,0.7511999999999999,0.7,0.7
Qwen2.5-7B-Instruct,hidden_layer_10,0.8389000000000001,0.78,0.78
Qwen2.5-7B-Instruct,length_baseline,0.5,0.5,0.6666666666666666
Qwen2.5-7B-Instruct,tfidf_char_ngram,0.50935,0.51,0.5148514851485149
Qwen2.5-7B-Instruct,entropy,0.5796,0.57,0.57
Qwen2.5-7B-Instruct,negative_top1_prob,0.5548,0.57,0.57
Qwen2.5-7B-Instruct,negative_margin,0.5447000000000001,0.56,0.56
